country_ch,country_en,cases,deaths
美國,United States,"96,525,344","1,089,942"
印度,India,"44,645,768","528,981"
法國,France,"36,707,566","156,700"
德國,Germany,"35,383,015","152,997"
巴西,Brazil,"34,807,075","687,907"
韓國,South Korea,"25,396,155","29,043"
英國,United Kingdom,"23,855,522","192,682"
義大利,Italy,"23,443,429","178,846"
日本,Japan,"22,106,126","46,414"
俄羅斯,Russia,"21,394,360","389,790"
土耳其,Turkey,"16,919,638","101,203"
西班牙,Spain,"13,488,015","114,858"
越南,Vietnam,"11,498,873","43,162"
澳洲,Australia,"10,346,805","15,586"
阿根廷,Argentina,"9,717,546","129,979"
荷蘭,Netherlands,"8,505,321","22,784"
伊朗,Iran,"7,557,024","144,559"
臺灣,Taiwan,"7,555,884","12,479"
墨西哥,Mexico,"7,107,926","330,339"
印尼,Indonesia,"6,478,720","158,499"
波蘭,Poland,"6,337,557","118,073"
哥倫比亞,Colombia,"6,309,168","141,827"
葡萄牙,Portugal,"5,518,155","25,209"
奧地利,Austria,"5,416,866","20,980"
烏克蘭,Ukraine,"5,296,254","110,008"
希臘,Greece,"5,135,200","33,574"
馬來西亞,Malaysia,"4,887,675","36,458"
智利,Chile,"4,728,938","61,584"
泰國,Thailand,"4,689,897","32,922"
以色列,Israel,"4,680,394","11,758"
比利時,Belgium,"4,607,296","32,883"
加拿大,Canada,"4,314,718","46,025"
瑞士,Switzerland,"4,232,017","13,723"
捷克,Czech Republic,"4,164,348","41,549"
秘魯,Peru,"4,152,804","216,877"
南非,South Africa,"4,026,786","102,257"
菲律賓,Philippines,"3,997,941","63,883"
羅馬尼亞,Romania,"3,284,916","67,169"
丹麥,Denmark,"3,181,161","7,354"
瑞典,Sweden,"2,608,289","20,562"
伊拉克,Iraq,"2,461,247","25,358"
塞爾維亞,Serbia,"2,400,037","17,209"
匈牙利,Hungary,"2,141,513","47,938"
新加坡,Singapore,"2,080,341","1,668"
孟加拉,Bangladesh,"2,034,729","29,416"
香港,Hong Kong,"1,891,631","10,350"
斯洛伐克,Slovakia,"1,851,796","20,579"
紐西蘭,New Zealand,"1,811,552","2,095"
喬治亞,Georgia,"1,780,691","16,900"
約旦,Jordan,"1,746,997","14,122"
愛爾蘭,Ireland,"1,670,377","7,972"
巴基斯坦,Pakistan,"1,573,807","30,625"
挪威,Norway,"1,464,381","4,208"
哈薩克,Kazakhstan,"1,394,563","13,692"
芬蘭,Finland,"1,335,318","6,407"
保加利亞,Bulgaria,"1,276,765","37,853"
立陶宛,Lithuania,"1,266,559","9,387"
摩洛哥,Morocco,"1,265,477","16,281"
克羅埃西亞,Croatia,"1,245,552","17,109"
斯洛維尼亞,Slovenia,"1,229,711","6,876"
黎巴嫩,Lebanon,"1,218,268","10,702"
突尼西亞,Tunisia,"1,146,152","29,257"
瓜地馬拉,Guatemala,"1,138,242","19,878"
哥斯大黎加,Costa Rica,"1,133,096","8,990"
古巴,Cuba,"1,111,277","8,530"
玻利維亞,Bolivia,"1,109,309","22,239"
阿拉伯聯合大公國,UAE,"1,036,047","2,348"
厄瓜多,Ecuador,"1,007,553","35,908"
尼泊爾,Nepal,"1,000,523","12,019"
白俄羅斯,Belarus,"994,037","7,118"
烏拉圭,Uruguay,"989,629","7,515"
巴拿馬,Panama,"989,608","8,506"
拉脫維亞,Latvia,"949,986","6,045"
亞塞拜然,Azerbaijan,"823,064","9,941"
沙烏地阿拉伯,Saudi Arabia,"821,246","9,400"
巴拉圭,Paraguay,"717,628","19,598"
巴勒斯坦,Palestine,"703,036","5,708"
巴林,Bahrain,"688,646","1,524"
斯里蘭卡,Sri Lanka,"671,030","16,776"
科威特,Kuwait,"661,787","2,566"
多明尼加,Dominican,"647,205","4,384"
緬甸,Myanmar,"630,902","19,478"
愛沙尼亞,Estonia,"606,498","2,739"
賽普勒斯,Cyprus,"596,297","1,191"
摩爾多瓦,Moldova,"593,246","11,887"
委內瑞拉,Venezuela,"545,665","5,820"
蒙古,Mongolia,"534,584","2,131"
埃及,Egypt,"515,645","24,613"
利比亞,Libya,"507,034","6,437"
衣索比亞,Ethiopia,"493,905","7,572"
卡達,Qatar,"467,092",684
宏都拉斯,Honduras,"456,988","11,037"
亞美尼亞,Armenia,"445,100","8,706"
波士尼亞與赫塞哥維納,Bosnia and Herzegovina,"399,811","16,169"
阿曼,Oman,"398,775","4,260"
北馬其頓,North Macedonia,"343,964","9,561"
肯亞,Kenya,"338,908","5,678"
尚比亞,Zambia,"333,644","4,017"
阿爾巴尼亞,Albania,"332,847","3,592"
波札那,Botswana,"326,344","2,790"
盧森堡,Luxembourg,"297,757","1,133"
蒙特內哥羅,Montenegro,"282,472","2,785"
科索沃,Kosovo,"272,152","3,202"
阿爾及利亞,Algeria,"270,810","6,881"
奈及利亞,Nigeria,"266,043","3,155"
模里西斯,Mauritius,"264,465","1,032"
中國大陸,China,"258,403","5,226"
辛巴威,Zimbabwe,"257,893","5,606"
烏茲別克,Uzbekistan,"244,523","1,637"
汶萊,Brunei,"237,656",244
莫三比克,Mozambique,"230,431","2,224"
寮國,Laos,"216,205",758
吉爾吉斯,Kyrgyzstan,"206,399","2,991"
冰島,Iceland,"206,356",213
阿富汗,Afghanistan,"202,509","7,820"
薩爾瓦多,El Salvador,"201,785","4,230"
馬爾地夫,Maldives,"185,280",308
千里達及托巴哥,Trinidad and Tobago,"184,713","4,249"
迦納,Ghana,"170,573","1,460"
納米比亞,Namibia,"169,908","4,080"
烏干達,Uganda,"169,396","3,628"
牙買加,Jamaica,"151,931","3,320"
柬埔寨,Cambodia,"137,979","3,056"
盧安達,Rwanda,"132,556","1,467"
喀麥隆,Cameroon,"121,652","1,935"
馬爾他,Malta,"115,271",808
安哥拉,Angola,"103,131","1,917"
巴貝多,Barbados,"103,014",560
剛果民主共和國,DR Congo,"93,027","1,445"
塞內加爾,Senegal,"88,679","1,968"
馬拉威,Malawi,"88,073","2,683"
象牙海岸,Ivory Coast,"87,720",827
蘇利南,Suriname,"81,185","1,390"
史瓦帝尼,Eswatini,"73,526","1,422"
蓋亞那,Guyana,"71,431","1,281"
貝里斯,Belize,"68,943",687
斐濟,Fiji,"68,257",878
馬達加斯加,Madagascar,"66,706","1,411"
蘇丹,Sudan,"63,473","4,972"
茅利塔尼亞,Mauritania,"63,321",997
維德角,Cape Verde,"62,397",410
不丹,Bhutan,"62,331",21
敘利亞,Syria,"57,354","3,163"
蒲隆地,Burundi,"50,470",38
塞席爾,Seychelles,"49,035",171
加彭,Gabon,"48,914",306
安道爾,Andorra,"46,535",155
巴布亞紐幾內亞,Papua New Guinea,"45,393",668
坦尚尼亞,Tanzania,"39,804",845
多哥,Togo,"39,293",290
幾內亞,Guinea,"38,047",456
巴哈馬,Bahamas,"37,364",833
賴索托,Lesotho,"34,490",706
海地,Haiti,"33,764",857
馬利,Mali,"32,722",742
聖露西亞,Saint Lucia,"29,550",404
貝南,Benin,"27,782",163
剛果共和國,Congo,"24,837",386
東帝汶,East Timor,"23,300",138
密克羅尼西亞聯邦,Micronesia,"21,815",55
布吉納法索,Burkina Faso,"21,631",387
聖馬利諾,San Marino,"21,544",119
索羅門群島,Solomon islands,"21,544",153
列支敦斯登,Liechtenstein,"20,582",86
格瑞那達,Grenada,"19,536",237
索馬利亞,Somalia,"18,863",930
南蘇丹,South Sudan,"17,823",138
塔吉克,Tajikistan,"17,786",125
赤道幾內亞,Equatorial Guinea,"17,153",183
東加,Tonga,"16,182",12
薩摩亞,Samoa,"15,946",29
多米尼克,Dominica,"15,760",74
吉布地,Djibouti,"15,690",189
馬紹爾群島,Marshall Islands,"15,389",17
中非,Central Africa,"15,229",113
尼加拉瓜,Nicaragua,"15,166",245
摩納哥,Monaco,"14,926",63
甘比亞,Gambia,"12,508",372
萬那杜,Vanuatu,"11,951",14
葉門,Yemen,"11,939","2,158"
索馬利蘭,Somaliland,"10,577",619
厄利垂亞,Eritrea,"10,187",103
尼日,Niger,"9,931",312
安地卡及巴布達,Antigua and Barbuda,"9,106",146
幾內亞比索,Guinea-Bissau,"8,848",176
葛摩,Comoros,"8,672",161
賴比瑞亞,Liberia,"7,988",294
獅子山,Sierra Leone,"7,752",126
查德,Chad,"7,620",194
聖文森及格瑞那丁,Saint Vincent and the Grenadines,"7,112",115
聖克里斯多福及尼維斯,Saint Kitts and Nevis,"6,548",46
庫克群島,Cook Islands,"6,389",1
聖多美普林西比,Sao Tome and Principe,"6,263",77
帛琉,Palau,"5,509",7
諾魯,Nauru,"4,610",1
吉里巴斯,Kiribati,"3,430",13
澳門,Macao,793,6
國際運輸工具(鑽石公主號),Int'l conveyance (Japan),741,13
紐埃,Niue,85,0
教廷,Holy See,29,0
吐瓦魯,Tuvalu,23,0
北韓,North Korea,2,1